Rank;Pos;Player;Team;Bye;Pts;Upside;ADP;VBD;Games;Pts/G;Age;Drafted;Wk 1;Wk 2;Wk 3;Wk 4;Wk 5;Wk 6;Wk 7;Wk 8;Wk 9;Wk 10;Wk 11;Wk 12;Wk 13;Wk 14;Wk 15;Wk 16;Wk 17;Notes
98;RB40;Phillip Lindsay;DEN;8;106.46;120.96;101;-5.09;14.90;6.52;25;u;7.00;5.58;4.46;6.47;5.57;7.29;7.39;0.00;5.51;7.00;7.12;5.38;7.39;8.28;6.64;7.12;7.00;
32;RB21;Mark Ingram;BAL;8;162.36;185.60;47;50.82;14.80;10.00;30;1;11.04;10.43;10.90;11.33;11.18;8.36;8.23;0.00;8.82;8.21;10.32;8.23;10.30;11.04;12.44;9.75;11.18;
34;RB23;Raheem Mostert;SF;11;160.79;184.35;55;49.25;15.00;9.93;28;u;10.28;9.89;10.10;8.65;11.13;9.67;8.51;10.15;10.53;8.21;0.00;9.67;10.15;11.73;10.67;10.28;10.15;MISC
59;RB31;Marlon Mack;IND;7;127.80;145.54;89;16.26;14.80;7.84;24;4;9.64;6.70;7.40;7.75;8.55;8.66;0.00;8.60;6.40;7.99;7.88;7.99;8.08;8.00;8.08;6.37;9.64;
108;RB44;Darrell Henderson;LAR;9;99.42;112.90;116;-12.13;14.90;6.08;22;3;6.86;5.56;6.52;6.49;7.54;4.47;6.66;7.15;0.00;6.52;4.37;4.47;6.61;5.47;6.35;6.52;6.61;INJ
40;RB25;Ronald Jones;TB;13;147.58;168.61;70;36.03;14.90;9.09;22;2;7.36;11.33;7.64;9.75;9.29;9.44;9.59;9.05;7.36;11.33;8.67;10.12;0.00;8.03;7.55;10.31;7.55;
114;RB47;Alexander Mattison;MIN;7;95.10;107.81;120;-16.45;14.90;5.81;22;3;6.00;5.20;6.08;6.15;5.78;4.79;0.00;6.00;6.54;5.90;6.07;7.19;7.33;3.87;5.90;4.67;6.54;MISC
102;RB42;Tarik Cohen;CHI;11;103.67;118.02;109;-7.87;15.00;6.36;24;4;7.30;6.41;5.35;5.80;4.32;8.03;6.14;5.21;6.79;5.69;0.00;6.69;7.30;6.86;5.69;8.18;6.69;
133;RB52;Tony Pollard;DAL;10;77.11;87.23;132;-34.43;15.00;4.70;23;4;4.71;4.10;4.94;5.57;4.92;5.01;5.72;4.22;4.15;0.00;4.36;5.72;4.17;5.64;3.39;4.22;4.92;
144;RB55;Rashaad Penny;SEA;6;67.63;70.37;164;-43.91;12.20;3.79;24;1;3.31;3.35;4.19;4.38;3.52;0.00;4.04;2.73;3.99;3.80;4.04;3.40;3.97;3.89;4.62;3.80;2.73;INJ
96;RB38;Matt Breida;MIA;11;107.16;121.57;102;-4.38;14.80;6.55;25;u;5.60;6.68;8.49;6.68;4.58;5.61;7.16;6.37;6.77;6.51;0.00;6.51;7.63;7.44;5.60;7.04;6.68;
111;RB46;Tevin Coleman;SF;11;97.98;111.07;103;-13.57;14.90;5.99;27;3;6.20;5.96;6.08;5.21;6.70;5.82;5.13;6.11;6.35;4.95;0.00;5.82;6.11;7.07;6.43;6.20;6.11;
69;RB33;Jordan Howard;MIA;11;121.98;139.04;93;10.43;14.90;7.49;25;5;6.40;7.64;9.70;7.64;5.23;6.41;8.18;7.27;7.74;7.44;0.00;7.44;8.71;8.50;6.40;8.05;7.64;
